SAMPLE ID	IGSN	SOURCE	REFERENCE	EXPEDITION ID	LATITUDE	LONGITUDE	LOC PREC	MAX ELEVATION	MIN ELEVATION	MIN AGE	AGE	MAX AGE	METHOD	ANALYZED MATERIAL	ROCK TYPE	ROCK NAME	MINERAL	SIO2	TIO2	AL2O3	FEOT	MGO	CAO	NA2O	K2O	SR87_SR86	ND143_ND144
R698-1.4-1.6		EARTHCHEMDB	DEFELICE, C; MALLICK, S; SAAL, A E; HUANG, S, 2019	nr	19.7408	-155.05	0.0001						ICPMS	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT			1.84	9.76		16.99	9.56	1.52	0.27		
R698-1.4-1.6		EARTHCHEMDB	DEFELICE, C; MALLICK, S; SAAL, A E; HUANG, S, 2019	nr	19.7408	-155.05	0.0001						MC-ICP-MS	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT										0.703198	0.513048
PETDB-3212-SR0641-1.00		EARTHCHEMDB	RHODES, J M; VOLLINGER, M, 2004	nr	19.51	-155.5	0.0001						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	THOLEIITE		47.4	1.79	9.61		18.33	7.97	1.47	0.19		
MOA9902-026-016		EARTHCHEMDB	RHODES, J M, 2015	MOA1999	19.3612	-156.062	0.0001	-2900	-2900				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	PICRITE		48.83	1.56	10.44		16.37	8.09	1.77	0.26		
R699-8.4-8.6		EARTHCHEMDB	DEFELICE, C; MALLICK, S; SAAL, A E; HUANG, S, 2019	nr	19.7408	-155.05	0.0001						ICPMS	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT			1.65	8.97		18.4	8.36	1.39	0.31		
R699-8.4-8.6		EARTHCHEMDB	DEFELICE, C; MALLICK, S; SAAL, A E; HUANG, S, 2019	nr	19.7408	-155.05	0.0001						MC-ICP-MS	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT										0.70327	0.513032
PETDB-3212-SR0267-6.85		EARTHCHEMDB	RHODES, J M; VOLLINGER, M, 2004	nr	19.51	-155.5	0.0001						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	THOLEIITE		45.73	1.6	7.7		23.16	6.84	1.25	0.24		
SFH-IT‐25		EARTHCHEMDB	SINTON, J M; GROENVOLD, K; SAEMUNDSSON, K, 2005	nr	64.464	-20.5924	1e-06						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		48.21	1.76	15.46	11.83	8.05	12.17	1.88	0.16		
EIRÍKSJÖKULL 2-IS-92		EARTHCHEMDB	EASON, D; SINTON, J M; GROENVOLD, K; KURZ, M D, 2015	nr	64.7606	-20.5213	0.0001	831	831				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		49.98	1.08	18.11	10.37	6.71	13.63	1.42	0.06		
JS20305-021		EARTHCHEMDB	GREENE, A R; GARCIA, M O; WEIS, D; ITO, G; KUGA, M; ROBINSON, J; YAMASAKI, S, 2010	JS20305	21.9683	-158.893	0.0001	-2896	-2896				Unknown	GLASS	IGNEOUS:VOLCANIC:MAFIC	BASALT		51.11	2.9	14.2		6.44	9.69	2.76	1.02		
JS20305-021		EARTHCHEMDB	GREENE, A R; GARCIA, M O; WEIS, D; ITO, G; KUGA, M; ROBINSON, J; YAMASAKI, S, 2010	JS20305	21.9683	-158.893	0.0001	-2896	-2896				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		48.34	2.77	13.16		9.82	9.09	2.46	0.83		
