,LATITUDE,LONGITUDE,ROCK TYPE,ROCK NAME,SIO2,NA2O,K2O
59,19.51,-155.5,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,46.49,1.38,0.29
60,19.3,-155.5,IGNEOUS:VOLCANIC:MAFIC,BASALT,49.31,1.8,0.31
61,19.51,-155.5,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,46.82,1.71,0.17
62,19.3,-155.5,IGNEOUS:VOLCANIC:MAFIC,BASALT,51.65,2.3,0.3
63,18.6732,-155.743,IGNEOUS:VOLCANIC:MAFIC,PICRITE,47.92,1.39,0.21
64,19.51,-155.5,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,45.54,0.97,0.2
65,19.51,-155.5,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,46.41,1.34,0.24
66,19.3,-155.5,IGNEOUS:VOLCANIC:MAFIC,BASALT,51.79,2.06,0.41
67,19.51,-155.5,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,47.85,2.11,0.22
68,18.6972,-155.77100000000002,IGNEOUS:VOLCANIC:MAFIC,PICRITE,48.46,1.61,0.3
69,19.51,-155.5,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,46.54,1.05,0.11
70,19.62,-155.93,IGNEOUS:VOLCANIC:MAFIC,ALKALI BASALT,45.16,2.28,0.54
71,19.3,-155.5,IGNEOUS:VOLCANIC:MAFIC,BASALT,51.45,2.05,0.43
72,19.3,-155.5,IGNEOUS:VOLCANIC:MAFIC,BASALT,46.88,1.21,0.26
73,19.3,-155.5,IGNEOUS:VOLCANIC:MAFIC,BASALT,52.05,2.13,0.34
74,64.7805,-19.538,IGNEOUS:VOLCANIC:MAFIC,BASALT,48.3,1.54,0.11
75,19.51,-155.5,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,46.95,1.61,0.27
76,18.942,-155.887,IGNEOUS:VOLCANIC:MAFIC,PICRITE,49.7,2.06,0.32
77,21.5881,-159.055,IGNEOUS:VOLCANIC:MAFIC,BASALT,49.43,2.09,0.42
78,19.4668,-155.988,IGNEOUS:VOLCANIC:MAFIC,BASALT,51.89,2.35,0.36
79,63.9713,-21.3007,IGNEOUS:VOLCANIC:MAFIC,BASALT,48.01,1.14,0.06
80,19.51,-155.5,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,47.54,1.38,0.1
81,19.51,-155.5,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,48.38,1.81,0.3
82,19.7408,-155.05,IGNEOUS:VOLCANIC:MAFIC,BASALT,,1.6,0.29
83,19.7408,-155.05,IGNEOUS:VOLCANIC:MAFIC,BASALT,,,
84,19.3,-155.5,IGNEOUS:VOLCANIC:MAFIC,BASALT,51.73,2.64,0.49
85,19.51,-155.5,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,45.54,0.966,0.2
86,19.3,-155.5,IGNEOUS:VOLCANIC:MAFIC,BASALT,52.41,2.26,0.37
87,19.4647,-155.976,IGNEOUS:VOLCANIC:MAFIC,BASALT,51.81,2.3,0.36
88,19.3,-155.5,IGNEOUS:VOLCANIC:MAFIC,BASALT,51.95,1.99,0.42
89,19.51,-155.5,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,45.03,1.09,0.19
90,18.6417,-155.766,IGNEOUS:VOLCANIC:MAFIC,PICRITE,47.36,1.3,0.19
91,18.7791,-155.715,IGNEOUS:VOLCANIC:MAFIC,BASALT,50.52,2.23,0.32
92,18.942,-155.887,IGNEOUS:VOLCANIC:MAFIC,BASALT,50.67,1.95,0.37
93,19.51,-155.5,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,47.24,1.74,0.14
94,64.797,-19.4688,IGNEOUS:VOLCANIC:MAFIC,BASALT,49.2,2.58,0.43
95,64.6799,-19.7822,IGNEOUS:VOLCANIC:MAFIC,BASALT,47.53,1.69,0.07
96,19.51,-155.5,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,50.18,1.91,0.27
97,19.3,-155.5,IGNEOUS:VOLCANIC:MAFIC,BASALT,49.49,1.95,0.28
98,19.0333,-155.97799999999998,IGNEOUS:VOLCANIC:MAFIC,BASALT,51.84,2.03,0.42
99,19.3,-155.5,IGNEOUS:VOLCANIC:MAFIC,BASALT,50.67,1.95,0.37
100,18.8167,-156.056,IGNEOUS:VOLCANIC:MAFIC,BASALT,50.74,2.15,0.3
101,19.4653,-155.986,IGNEOUS:VOLCANIC:MAFIC,BASALT,51.69,2.31,0.36
102,19.3,-155.5,IGNEOUS:VOLCANIC:MAFIC,BASALT,51.1,2.45,0.39
103,19.51,-155.5,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,49.34,2.11,0.46
104,19.4508,-155.96,IGNEOUS:VOLCANIC:MAFIC,BASALT,47.12,3.06,0.61
105,19.51,-155.5,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,46.45,1.24,0.09
106,19.3,-155.5,IGNEOUS:VOLCANIC:MAFIC,BASALT,50.95,2.03,0.35
